Activity Name,SY,Term,prob-sentiment,con-sentiment,reco-sentiment
Neebot Presents CpESemfields: Providing Security Connectivity with SD-WAN,2022-2023,1T,0.0,0.139,0.231
Neebot Presents CpESemfields: Selfcare: Preparing Myself Future-Ready,2022-2023,1T,0.0,0.247,0.0
Neebot Presents CpESemfields: Living in the Cloud,2022-2023,1T,0.0,0.134,0.0
Neebot Presents CpESemfields: The Future with Data,2022-2023,1T,0.0,0.198,0.0
Neebot Presents CpESemfields: The Future of Sustainable and Reliable Wireless Architecture,2022-2023,1T,0.107,0.125,0.055
Neebot Presents: Financial Awareness,2022-2023,1T,0.0,0.352,0.0
Neebot Presents CpESemfields: Enabling Data Analytics in Semiconductor Manufacturing Company,2022-2023,1T,0.109,0.291,0.034
Neebot Presents CpESemfields: Role of Research and Development in Industrial 4.0,2022-2023,1T,0.0,0.535,0.385
AIA Lifehackers Hackventure 2022 â€“ The Finale Battle,2022-2023,2T,0.0,0.468,0.456
ICpEP National CpE Challenge 2023,2022-2023,2T,0.25,0.367,0.124
1st Hybrid Technical Seminar 2023 - Industrial Robot Programming (Pegasus Robot Simulator from AMATROL USA),2022-2023,2T,0.0,0.391,0.343
KadaKareer x HelpBridge HacKada,2022-2023,2T,0.0,0.38,0.267
Arduino Day Philippines 2023,2022-2023,2T,0.0,0.481,0.0
CpE Boot Up,2022-2023,2T,0.075,0.252,0.321
Python Review,2022-2023,2T,0.0,0.317,0.0
Samsung Create,2022-2023,3T,0.0,0.0,0.0
Java Review,2022-2023,3T,0.0,0.291,0.0
The Grand Cyberleague Expo ,2022-2023,3T,0.205,0.458,0.414
CpE Trilogy: Cybersecurity,2022-2023,3T,0.0,0.278,0.0
iTamBuilding,2022-2023,3T,0.0,0.212,0.244
Python Review,2022-2023,3T,0.0,0.291,0.0
